序號,會議簡稱,會議全名,分類,類型,專業領域
1,TOCS,ACM Transactions on Computer Systems,A,期刊,電腦體系結構/平行與分散運算/儲存系統
2,TOS,ACM Transactions on Storage,A,期刊,電腦體系結構/平行與分散運算/儲存系統
3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and System,A,期刊,電腦體系結構/平行與分散運算/儲存系統
4,TC,IEEE Transactions on Computers,A,期刊,電腦體系結構/平行與分散運算/儲存系統
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,A,期刊,電腦體系結構/平行與分散運算/儲存系統
6,TACO,ACM Transactions on Architecture and Code Optimization,A,期刊,電腦體系結構/平行與分散運算/儲存系統
1,TAAS,ACM Transactions on Autonomous and Adaptive Systems,B,期刊,電腦體系結構/平行與分散運算/儲存系統
2,TODAES,ACM Transactions on Design Automation of Electronic Systems,B,期刊,電腦體系結構/平行與分散運算/儲存系統
3,TECS,ACM Transactions on Embedded Computing Systems,B,期刊,電腦體系結構/平行與分散運算/儲存系統
4,TRETS,ACM Transactions on Reconfigurable Technology and Systems,B,期刊,電腦體系結構/平行與分散運算/儲存系統
5,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,B,期刊,電腦體系結構/平行與分散運算/儲存系統
6,JPDC,Journal of Parallel and Distributed Computing,B,期刊,電腦體系結構/平行與分散運算/儲存系統
7,JSA,Journal of Systems Architecture: Embedded Software Design,B,期刊,電腦體系結構/平行與分散運算/儲存系統
8,PARCO,Parallel Computing,B,期刊,電腦體系結構/平行與分散運算/儲存系統
9,,Performance Evaluation: An International Journal,B,期刊,電腦體系結構/平行與分散運算/儲存系統
1,JETC,ACM Journal on Emerging Technologies in Computing Systems,C,期刊,電腦體系結構/平行與分散運算/儲存系統
2,,Concurrency and Computation: Practice and Experience,C,期刊,電腦體系結構/平行與分散運算/儲存系統
3,DC,Distributed Computing,C,期刊,電腦體系結構/平行與分散運算/儲存系統
4,FGCS,Future Generation Computer Systems,C,期刊,電腦體系結構/平行與分散運算/儲存系統
5,TCC,IEEE Transactions on Cloud Computing,C,期刊,電腦體系結構/平行與分散運算/儲存系統
6,Integration,"Integration, the VLSI Journal",C,期刊,電腦體系結構/平行與分散運算/儲存系統
7,JETTA,Journal of Electronic Testing-Theory and Applications,C,期刊,電腦體系結構/平行與分散運算/儲存系統
